"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Dew-point temperature mean [°C]","Cloud cover [1/8]","Air pressure mean [hPa]","Relative humidity mean [%]","Precipitation amount mean [mm]","Weather description","Horizontal visibility mean [m]"
"Tornio Torppi","2023","1","1","00:00","0.2","-0.1","Cloudy (8/8)","975.9","98","0","Rain and snow mixed, light","4300"
"Tornio Torppi","2023","1","1","00:10","0.2","-0.1","Cloudy (8/8)","976","98","0.12","Rain and snow mixed, light","2164"
"Tornio Torppi","2023","1","1","00:20","0.2","-0.1","Cloudy (8/8)","976","98","0.07","Snow, light","2388"
"Tornio Torppi","2023","1","1","00:30","0.1","-0.1","Cloudy (8/8)","976.1","98","0.12","Snow, light","2521"
"Tornio Torppi","2023","1","1","00:40","0.1","-0.1","Cloudy (8/8)","976.2","98","0.03","Snow, light","2068"
"Tornio Torppi","2023","1","1","00:50","0.2","-0.1","Cloudy (8/8)","976.3","98","0.08","Snow, light","2725"
"Tornio Torppi","2023","1","1","01:00","0.2","-0.1","Cloudy (8/8)","976.5","98","0.03","Snow, light","2045"
"Tornio Torppi","2023","1","1","01:10","0.2","0","Cloudy (8/8)","976.5","98","0.12","Rain and snow mixed, light","4633"
"Tornio Torppi","2023","1","1","01:20","0.3","0","Cloudy (8/8)","976.6","98","0","Rain and snow mixed, light","12768"
"Tornio Torppi","2023","1","1","01:30","0.4","0","Cloudy (8/8)","976.9","97","0","Rain, light","11001"
"Tornio Torppi","2023","1","1","01:40","0.4","0","Cloudy (8/8)","976.9","97","0","Snow grains","14681"
"Tornio Torppi","2023","1","1","01:50","0.4","0","Cloudy (8/8)","977.1","97","0","Snow grains","31804"
"Tornio Torppi","2023","1","1","02:00","0.5","0","Cloudy (8/8)","977.2","96","0","Snow grains","50000"
"Tornio Torppi","2023","1","1","02:10","0.4","-0.1","Cloudy (8/8)","977.4","96","0","Snow grains","50000"
"Tornio Torppi","2023","1","1","02:20","0.5","-0.1","Cloudy (8/8)","977.5","96","0","Drizzle or snow grains during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","02:30","0.5","-0.1","Cloudy (8/8)","977.6","96","0","Drizzle or snow grains during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","02:40","0.5","-0.1","Cloudy (8/8)","977.9","95","0","Drizzle or snow grains during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","02:50","0.6","-0.1","Cloudy (8/8)","978","95","0","Drizzle or snow grains during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","03:00","0.6","-0.1","Cloudy (8/8)","978.2","95","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","03:10","0.6","-0.2","Cloudy (8/8)","978.4","95","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","03:20","0.6","-0.2","Mostly cloudy (7/8)","978.6","94","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","03:30","0.6","-0.2","Mostly cloudy (7/8)","978.8","95","0","Precipitation, slight or moderate","50000"
"Tornio Torppi","2023","1","1","03:40","0.6","-0.1","Mostly cloudy (7/8)","978.9","95","0","Showers or intermittent precipitation","50000"
"Tornio Torppi","2023","1","1","03:50","0.7","-0.2","Cloudy (8/8)","979.2","94","0","Precipitation during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","04:00","0.7","-0.2","Cloudy (8/8)","979.4","93","0","Precipitation during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","04:10","0.8","-0.2","Mostly cloudy (7/8)","979.6","93","0","Precipitation during previous hour, but not during observation.","49493"
"Tornio Torppi","2023","1","1","04:20","0.8","-0.2","Mostly cloudy (7/8)","979.9","93","0","Precipitation during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","04:30","0.8","-0.3","Mostly cloudy (7/8)","980","93","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","04:40","0.9","-0.4","Mostly cloudy (7/8)","980.1","91","0","Precipitation, slight or moderate","50000"
"Tornio Torppi","2023","1","1","04:50","0.7","-0.4","Mostly cloudy (7/8)","980.1","92","0","Showers or intermittent precipitation","50000"
